Maand,ArcGIS: (Wereldwijd),MapInfo: (Wereldwijd),QGIS: (Wereldwijd),PostGIS: (Wereldwijd)
2004-01,43,68,0,6
2004-02,46,81,1,7
2004-03,48,78,1,10
2004-04,50,75,1,7
2004-05,46,68,1,8
2004-06,53,81,2,9
2004-07,53,76,2,9
2004-08,53,74,1,6
2004-09,58,77,1,10
2004-10,56,69,2,7
2004-11,55,68,2,8
2004-12,48,60,1,7
2005-01,54,58,2,8
2005-02,60,58,2,8
2005-03,54,60,2,9
2005-04,62,64,2,7
2005-05,59,55,3,9
2005-06,60,58,3,9
2005-07,59,58,4,9
2005-08,52,52,3,9
2005-09,58,55,3,9
2005-10,60,53,2,10
2005-11,61,51,4,9
2005-12,54,46,4,8
2006-01,57,46,5,8
2006-02,62,50,4,9
2006-03,63,51,4,10
2006-04,55,45,4,9
2006-05,61,47,4,10
2006-06,55,48,4,8
2006-07,53,45,4,10
2006-08,59,43,4,9
2006-09,60,41,4,7
2006-10,61,41,4,10
2006-11,60,39,5,8
2006-12,55,34,4,8
2007-01,65,38,6,7
2007-02,67,37,5,9
2007-03,68,42,5,8
2007-04,66,38,4,9
2007-05,67,38,4,9
2007-06,67,39,4,9
2007-07,67,35,3,9
2007-08,65,36,4,9
2007-09,65,36,4,8
2007-10,74,35,6,10
2007-11,72,34,5,9
2007-12,61,27,5,7
2008-01,69,31,4,8
2008-02,70,31,4,8
2008-03,67,31,5,9
2008-04,75,34,6,8
2008-05,70,31,5,8
2008-06,69,32,5,8
2008-07,72,32,5,9
2008-08,67,29,4,7
2008-09,71,29,5,7
2008-10,79,30,5,8
2008-11,76,30,5,8
2008-12,66,26,5,7
2009-01,69,26,6,7
2009-02,79,28,6,7
2009-03,82,29,6,8
2009-04,81,27,6,8
2009-05,77,27,7,8
2009-06,79,27,6,8
2009-07,76,25,6,8
2009-08,75,24,5,7
2009-09,79,25,6,7
2009-10,81,25,6,8
2009-11,83,24,7,7
2009-12,70,21,6,7
2010-01,74,22,7,7
2010-02,79,23,8,8
2010-03,88,25,7,8
2010-04,86,24,7,8
2010-05,83,23,7,8
2010-06,85,22,7,8
2010-07,84,19,6,7
2010-08,83,19,7,6
2010-09,87,20,7,7
2010-10,88,19,7,7
2010-11,91,20,8,7
2010-12,78,16,7,7
2011-01,80,17,7,6
2011-02,89,18,8,6
2011-03,97,19,9,7
2011-04,90,18,9,6
2011-05,90,18,9,7
2011-06,89,17,9,7
2011-07,82,16,9,7
2011-08,82,16,9,6
2011-09,85,16,9,6
2011-10,88,16,10,7
2011-11,94,16,11,7
2011-12,77,15,9,6
2012-01,80,14,10,6
2012-02,91,16,12,7
2012-03,95,16,12,7
2012-04,90,15,12,8
2012-05,92,15,13,7
2012-06,90,14,13,7
2012-07,87,14,12,7
2012-08,85,13,12,6
2012-09,88,13,13,7
2012-10,96,14,14,7
2012-11,91,13,15,6
2012-12,72,11,12,5
2013-01,86,12,14,6
2013-02,94,12,15,7
2013-03,92,13,16,7
2013-04,98,13,16,6
2013-05,93,12,16,6
2013-06,85,12,17,6
2013-07,88,11,16,6
2013-08,84,10,15,6
2013-09,89,11,18,6
2013-10,100,12,24,7
2013-11,96,11,23,7
2013-12,79,10,18,5
2014-01,88,10,21,6
2014-02,97,11,26,6
2014-03,97,11,27,7
2014-04,100,11,26,7
2014-05,95,10,27,7
2014-06,89,10,27,6
2014-07,88,9,26,6
2014-08,83,9,24,5
2014-09,93,10,28,6
2014-10,100,11,32,6
2014-11,94,10,32,6
2014-12,81,8,26,5
2015-01,84,9,29,5
2015-02,95,9,33,6
2015-03,99,10,37,6
2015-04,99,9,34,6
2015-05,91,9,33,6
2015-06,93,9,34,6
2015-07,82,8,32,6
2015-08,79,8,29,5
2015-09,88,8,33,6
2015-10,92,8,35,6
2015-11,93,8,38,6
2015-12,76,7,31,5
2016-01,76,7,31,5
2016-02,92,7,39,6
2016-03,93,7,40,6
2016-04,95,7,39,6
2016-05,91,7,41,6
2016-06,87,7,40,6
2016-07,74,5,32,5
2016-08,78,6,33,5
2016-09,82,6,38,6
2016-10,87,6,40,6
2016-11,93,7,44,6
2016-12,74,5,34,5
2017-01,79,5,39,6
2017-02,92,6,43,6
2017-03,99,6,47,7
2017-04,90,6,43,6
2017-05,88,6,44,6
2017-06,81,5,40,6
2017-07,74,5,38,5
2017-08,77,5,37,5
2017-09,81,5,40,6
2017-10,89,5,44,6
2017-11,91,5,47,6
